candidate_id,rank,score,reasoning
CAND_0081846,1,90.59,"The profile clears the JD bar because Lead AI Engineer work at Razorpay gives direct evidence of retrieval, semantic search, vector search. Named skills/signals supporting the rank: advanced Data Science (19m), expert Information Retrieval (93m), expert Elasticsearch (60m); solid recruiter response (0.73), short 30d notice, 0.94 interview completion; India-based and willing to relocate from Jaipur, Rajasthan."
CAND_0077337,2,88.75,"Rank 2 is a standout top-10 match: Staff Machine Learning Engineer with 7.0 yrs total, and the best evidence in a Senior NLP Engineer stint at Razorpay (14 months) covering retrieval, semantic search, hybrid retrieval. The supporting signals are advanced Semantic Search (39m), expert QLoRA (47m), advanced Pinecone (24m), India-based and willing to relocate from Kochi, Kerala, and very responsive to recruiters (0.95), manageable 60d notice, 32 recruiter saves in 30d."
CAND_0018499,3,85.89,"The profile clears the JD bar because Staff Machine Learning Engineer work at Google gives direct evidence of retrieval, dense retrieval, hybrid retrieval. Named skills/signals supporting the rank: expert Weaviate (88m), expert Recommendation Systems (46m), advanced Pinecone (54m); solid recruiter response (0.61), short 15d notice, 0.80 interview completion; already in a preferred office market (Noida, Uttar Pradesh)."
CAND_0046525,4,84.06,"Senior Machine Learning Engineer, 6.1 yrs, is a standout top-10 fit for the role's retrieval/ranking mandate; the strongest evidence is Senior Machine Learning Engineer work at LinkedIn around retrieval, dense retrieval, hybrid retrieval. Skills/signals check out via advanced Elasticsearch (31m), advanced Information Retrieval (59m), advanced LLMs (56m), with very responsive to recruiters (0.88), manageable 60d notice, 0.81 interview completion; already in a preferred office market (Pune, Maharashtra)."
CAND_0055905,5,82.30,"Rank 5 is a standout top-10 match: Senior Machine Learning Engineer with 8.1 yrs total, and the best evidence in a Senior Applied Scientist stint at Rephrase.ai (45 months) covering retrieval, semantic search, vector search. The supporting signals are expert Elasticsearch (80m), advanced Hugging Face Transformers (33m), expert Python (45m), outside India (London) and remote-only, which is a location caveat, and very responsive to recruiters (0.87), short 30d notice, 13 recruiter saves in 30d. Main caveat: location/logistics are weaker than the core technical fit."
CAND_0011687,6,81.80,"Rank 6 is a standout top-10 match: Senior NLP Engineer with 7.8 yrs total, and the best evidence in a Senior NLP Engineer stint at Niramai (52 months) covering retrieval, hybrid retrieval, embedding. The supporting signals are expert OpenSearch (92m), advanced FAISS (42m), intermediate Feature Engineering (21m), India-based in Indore, Madhya Pradesh, and very responsive to recruiters (0.89), short 15d notice, 27 recruiter saves in 30d."
CAND_0046064,7,81.67,"This profile earns rank 7 mainly on JD-critical evidence: retrieval, vector search, dense retrieval from Lead AI Engineer work at Verloop.io, not generic AI interest. The concrete facts are Senior NLP Engineer, 8.9 yrs, expert Python (40m), expert Pinecone (85m), advanced OpenSearch (21m), and Redrob availability signals of very responsive to recruiters (0.78), short 30d notice, 0.80 interview completion; India-based in Coimbatore, Tamil Nadu."
CAND_0071974,8,81.09,"I would keep this as a standout top-10 profile because the experience is not just AI keywords: Senior AI Engineer at Netflix in Media maps to retrieval, hybrid retrieval, embedding. They have 7.8 yrs overall, advanced LoRA (41m), expert Weaviate (61m), expert Pinecone (51m), plus very responsive to recruiters (0.76), manageable 45d notice, 0.85 interview completion; India-based in Vizag, Andhra Pradesh."
CAND_0088025,9,81.06,"Staff Machine Learning Engineer, 8.6 yrs, is a standout top-10 fit for the role's retrieval/ranking mandate; the strongest evidence is Staff Machine Learning Engineer work at Yellow.ai around retrieval, hybrid retrieval, bm25. Skills/signals check out via advanced Pinecone (49m), expert QLoRA (83m), expert LLMs (71m), with very responsive to recruiters (0.83), 90d notice, 0.95 interview completion; India-based in Jaipur, Rajasthan."
CAND_0086022,10,80.65,"The profile clears the JD bar because Senior Applied Scientist work at Sarvam AI gives direct evidence of retrieval, vector search, dense retrieval. Named skills/signals supporting the rank: advanced Vector Search (36m), advanced MLflow (46m), advanced Recommendation Systems (53m); solid recruiter response (0.55), short 0d notice, 53 recruiter saves in 30d; India-based and willing to relocate from Kolkata, West Bengal."
